0.0176588840-0.3311804342i
0.0931279750-0.6924435665i
0.1611112874-0.3823847884i
0.1893650786-0.1790290436i
0.2206424402-0.2960757243i
0.2594754057-0.2894342694i
0.2934258814-0.2621560883i
0.3273118410-0.2557136929i
0.3527192335-0.1511309314i
0.3666866841-0.0889439893i
0.3771327577-0.0666027433i
0.3820938048-0.0128384459i
0.3821869162+0.0112407885i
0.3787249665+0.0537746070i
0.3667250058+0.1285473030i
0.3474672370+0.1717888807i
0.3230355542+0.2166415290i
0.2927375365+0.2564160582i
0.2594948728+0.2716058303i
0.2230254111+0.3063257730i
0.1816401146+0.3404288154i
0.1372378253+0.3594107102i
0.0899057209+0.3834259167i
0.0407484130+0.3865304433i
-0.0076470060+0.3780688520i
-0.0558365451+0.3783280682i
-0.1033894406+0.3668258722i
-0.1492596531+0.3542068035i
-0.1937476852+0.3401259593i
-0.2350000537+0.3062132809i
-0.2717093791+0.2710854650i
-0.3040842950+0.2345281049i
-0.3311473946+0.1902262989i
-0.3530756906+0.1527875635i
-0.3700383347+0.1098002383i
-0.3807017250+0.0579196753i
-0.3850245439+0.0097146023i
-0.3829078181-0.0431736286i
-0.3740219409-0.0936227695i
-0.3594316798-0.1350610800i
-0.3392948253-0.1798429016i
-0.3134764849-0.2215972424i
-0.2826656073-0.2592128906i
-0.2468039449-0.2982179752i
-0.2065503668-0.3269243089i
-0.1632235607-0.3480673976i
-0.1172278813-0.3665905851i
-0.0694491583-0.3758544959i
-0.0206560297-0.3826926321i
0.0289434754-0.3858290330i
0.0781681934-0.3776984970i
0.1260224098-0.3647975722i
0.1718425084-0.3447437600i
0.2144864406-0.3167887538i
0.2535782288-0.2886441976i
0.2887644975-0.2549440170i
0.3191458004-0.2154076630i
0.3443614019-0.1740511001i
0.3637913992-0.1260164168i
0.3768312350-0.0763859214i
0.3836664360-0.0287158751i
0.3841600831+0.0213177872i
0.3782667045+0.0693854026i
0.3662617559+0.1165190472i
0.3479544937+0.1652704635i
0.3236176603+0.2091171452i
0.2938810546+0.2491494705i
0.2591097468+0.2855782166i
0.2201155721+0.3144844245i
0.1775676917+0.3402566865i
0.1318485963+0.3617623745i
0.0838491457+0.3755628056i
0.0343401264+0.3845348594i
-0.0158710149+0.3855094410i
-0.0656299367+0.3782687690i
-0.1142374610+0.3670338999i
-0.1609884808+0.3490433195i
-0.2050046493+0.3254019014i
-0.2457287124+0.2976095584i
-0.2823251270+0.2622027737i
-0.3139757369+0.2223629794i
-0.3402941634+0.1797544567i
-0.3607564657+0.1330131670i
-0.3750794725+0.0858538192i
-0.3831830168+0.0372774672i
-0.3847078295-0.0138881667i
-0.3796003905-0.0638994012i
-0.3679729508-0.1135688279i
-0.3498983678-0.1614858687i
-0.3258765921-0.2045659644i
-0.2963582083-0.2451674108i
-0.2617022283-0.2819619378i
-0.2225688483-0.3134353188i
-0.1795077966-0.3411227174i
-0.1332164718-0.3619384210i
-0.0846869774-0.3754438030i
-0.0346981590-0.3834469050i
0.0158818453-0.3839968065i
0.0661426451-0.3785682132i
0.1153961071-0.3677848215i
0.1627235769-0.3492252618i
0.2072114398-0.3247576819i
0.2481386566-0.2946285390i
0.2846740885-0.2583870277i
0.3162366332-0.2190806271i
0.3424018428-0.1761222961i
0.3626122766-0.1293262931i
0.3765382962-0.0809259880i
0.3838993548-0.0300404008i
0.3844365061+0.0216572621i
0.3782522751+0.0717301113i
0.3654735664+0.1210857820i
0.3462833655+0.1680035270i
0.3210897660+0.2117186624i
0.2902134629+0.2530902026i
0.2541403987+0.2895302546i
0.2135928467+0.3205136003i
0.1692368574+0.3462617011i
0.1219136548+0.3648969230i
0.0724975926+0.3775802932i
0.0217298040+0.3844254258i
-0.0294690298+0.3838392146i
-0.0801865437+0.3769390087i
