0.0000000000,-0.0033984375,0.0009343750,0.0053125000,3.4359375000
0.0000640205,-0.0034843750,0.0006812500,0.0043750000,3.4429687500
0.0001280410,-0.0031171875,0.0008156250,0.0057031250,3.4554687500
0.0001920615,-0.0031484375,0.0008500000,0.0035937500,3.4640625000
0.0002560819,-0.0033750000,0.0009625000,-0.0010937500,3.4156250000
0.0003201024,-0.0032734375,0.0007718750,0.0071093750,3.4429687500
0.0003841229,-0.0033593750,0.0007781250,0.0036718750,3.4101562500
0.0004481434,-0.0030625000,0.0007062500,0.0076562500,3.4179687500
0.0005121639,-0.0033593750,0.0007406250,0.0099218750,3.4203125000
0.0005761844,-0.0034218750,0.0009500000,0.0101562500,3.4031250000
0.0006402049,-0.0032421875,0.0008031250,0.0064843750,3.4359375000
0.0007042254,-0.0031250000,0.0008437500,0.0002343750,3.4140625000
0.0007682458,-0.0032890625,0.0008750000,0.0022656250,3.4257812500
0.0008322663,-0.0030859375,0.0008781250,0.0078125000,3.4179687500
0.0008962868,-0.0034375000,0.0007843750,0.0072656250,3.4054687500
0.0009603073,-0.0030781250,0.0007718750,0.0053906250,3.4742187500
0.0010243278,-0.0033828125,0.0007843750,0.0104687500,3.4359375000
0.0010883483,-0.0032734375,0.0008250000,0.0059375000,3.4210937500
0.0011523688,-0.0030781250,0.0007656250,0.0047656250,3.4500000000
0.0012163892,-0.0032421875,0.0010406250,0.0072656250,3.4718750000
0.0012804097,-0.0031875000,0.0007093750,0.0069531250,3.4187500000
0.0013444302,-0.0033359375,0.0008437500,0.0035937500,3.4101562500
0.0014084507,-0.0031328125,0.0009750000,0.0054687500,3.4562500000
0.0014724712,-0.0032578125,0.0008062500,0.0094531250,3.4210937500
0.0015364917,-0.0031328125,0.0008437500,0.0031250000,3.4343750000
0.0016005122,-0.0031484375,0.0009312500,0.0079687500,3.4320312500
0.0016645327,-0.0031015625,0.0009468750,0.0006250000,3.4359375000
0.0017285531,-0.0034375000,0.0006406250,0.0062500000,3.4304687500
0.0017925736,-0.0035625000,0.0009718750,0.0092187500,3.4265625000
0.0018565941,-0.0030312500,0.0007875000,0.0096875000,3.4062500000
0.0019206146,-0.0030234375,0.0007093750,0.0050781250,3.4687500000
0.0019846351,-0.0033281250,0.0009093750,0.0072656250,3.4429687500
0.0020486556,-0.0036093750,0.0007468750,0.0059375000,3.4921875000
0.0021126761,-0.0030234375,0.0008937500,0.0028125000,3.4273437500
0.0021766965,-0.0030234375,0.0008375000,0.0029687500,3.4359375000
0.0022407170,-0.0031875000,0.0007937500,0.0042187500,3.4109375000
0.0023047375,-0.0031171875,0.0010281250,0.0024218750,3.4796875000
0.0023687580,-0.0032265625,0.0009062500,0.0039062500,3.4367187500
0.0024327785,-0.0030468750,0.0009062500,0.0052343750,3.4257812500
0.0024967990,-0.0031093750,0.0009218750,0.0096093750,3.4414062500
0.0025608195,-0.0030703125,0.0007656250,0.0055468750,3.4203125000
0.0026248399,-0.0032031250,0.0008531250,0.0062500000,3.4429687500
