0.0183958280-0.3514722992i
0.1095429958-0.9149271418i
0.2266784115-0.8749874025i
0.3283489444-0.7936433550i
0.4325999396-0.8310041898i
0.5327261791-0.7548766124i
0.6239845099-0.6946827470i
0.7071034630-0.6182665437i
0.7798896507-0.5337462749i
0.8408600700-0.4296209733i
0.8884721651-0.3261564584i
0.9231028082-0.2174424445i
0.9428214831-0.0965450516i
0.9479068818+0.0171262604i
0.9382383430+0.1359833369i
0.9136443884+0.2519133703i
0.8746071866+0.3639323911i
0.8217796600+0.4693312381i
0.7558744017+0.5694268827i
0.6778855643+0.6588436281i
0.5891927319+0.7382167292i
0.4910206041+0.8065122687i
0.3850322506+0.8610182324i
0.2728835825+0.9023285314i
0.1563717685+0.9289086156i
0.0373472628+0.9407956701i
-0.0822467865+0.9371448885i
-0.2005050663+0.9188678819i
-0.3155173924+0.8853557201i
-0.4254008050+0.8377242915i
-0.5283959324+0.7764862266i
-0.6228052556+0.7026121777i
-0.7070999462+0.6173652918i
-0.7798884701+0.5220271623i
-0.8399835790+0.4182375693i
-0.8863811610+0.3075204796i
-0.9183166936+0.1918768373i
-0.9352474673+0.0729651569i
-0.9368786753-0.0470862306i
-0.9231676759-0.1664507384i
-0.8943166837-0.2830935309i
-0.8507832423-0.3951441795i
-0.7932602761-0.5007364963i
-0.7226783707-0.5981336520i
-0.6401781323-0.6857396777i
-0.5471054635-0.7620640721i
-0.4449778661-0.8258859709i
-0.3354692603-0.8760831704i
-0.2203774304-0.9118564816i
-0.1015968076-0.9325588457i
0.0189124219-0.9378564157i
0.1391578693-0.9276190465i
0.2571456502-0.9020109877i
0.3709164968-0.8614285949i
0.4785746365-0.8065245683i
0.5783234445-0.7381991131i
0.6684921051-0.6575590938i
0.7475665810-0.5659422456i
0.8142134333-0.4648481315i
0.8673038823-0.3559608302i
0.9059326280-0.2410771071i
0.9294338871-0.1221166716i
0.9373936129-0.0010571065i
0.9296565277+0.1200745180i
0.9063305349+0.2392500346i
0.8677847210+0.3544688537i
0.8146449906+0.4637896986i
0.7477835231+0.5653704452i
0.6683056124+0.6574890737i
0.5775312650+0.7385854092i
0.4769740232+0.8072747703i
0.3683158750+0.8623846402i
0.2533794183+0.9029639533i
0.1340976348+0.9283087533i
0.0124813395+0.9379686704i
-0.1094143529+0.9317590444i
-0.2295249901+0.9097634906i
-0.3458115006+0.8723328896i
-0.4562951428+0.8200822461i
-0.5590911227+0.7538780678i
-0.6524411134+0.6748280777i
-0.7347435032+0.5842593284i
-0.8045812427+0.4836998786i
-0.8607466126+0.3748502849i
-0.9022624855+0.2595575685i
-0.9283998279+0.1397823798i
-0.9386908972+0.0175668700i
-0.9329381726-0.1050004048i
-0.9112185321-0.2258202978i
-0.8738828881-0.3428184323i
-0.8215509866-0.4539818093i
-0.7551016639-0.5573925326i
-0.6756585360-0.6512622020i
-0.5845714515-0.7339620903i
-0.4833939565-0.8040526196i
-0.3738571404-0.8603080874i
-0.2578403362-0.9017390205i
-0.1373390956-0.9276097376i
-0.0144310688-0.9374519873i
0.1087597274-0.9310739770i
0.2300995480-0.9085643915i
0.3474819159-0.8702920261i
0.4588642684-0.8168999620i
0.5623036639-0.7492955953i
0.6559908913-0.6686353907i
0.7382823946-0.5763058099i
0.8077294452-0.4738996755i
0.8631040263-0.3631891942i
0.9034209823-0.2460955067i
0.9279560002-0.1246556178i
0.9362591160-0.0009871604i
0.9281634595+0.1227484790i
0.9037890839+0.2443838095i
0.8635417697+0.3617833286i
0.8081068118+0.4728810127i
0.7384378661+0.5757169322i
0.6557410296+0.6684719791i
0.5614544118+0.7495003982i
0.4572235306+0.8173592914i
0.3448729530+0.8708347322i
0.2263746537+0.9089639127i
0.1038136430+0.9310529429i
-0.0206485478+0.9366899923i
-0.1448118833+0.9257534466i
-0.2664766802+0.8984150111i
-0.3834826146+0.8551375629i
-0.4937471901+0.7966678853i
-0.5953029809+0.7240242734i
-0.6863329782+0.6384793045i
-0.7652034053+0.5415379790i
-0.8304933993+0.4349116508i
-0.8810210180+0.3204881632i
-0.9158650867+0.2002987105i
