0.0203720299+0.0003694253i
0.2107959559+0.0079676089i
0.4179243072+0.0294462937i
0.6045023132+0.0627462424i
0.6481648893+0.1037243426i
0.6195044457+0.1426113314i
0.7312122659+0.1859385391i
0.7086020353+0.2317601773i
0.7178299706+0.2762104272i
0.7431502747+0.3228099975i
0.7301547806+0.3691624976i
0.7231757593+0.4150767399i
0.7139414263+0.4603366097i
0.7045551853+0.5052736369i
0.6722000767+0.5485995288i
0.6578015615+0.5905816011i
0.6269725573+0.6312069028i
0.5939673133+0.6696657307i
0.5601633688+0.7061341220i
0.5230310060+0.7403099126i
0.4809702276+0.7720362823i
0.4368509856+0.8009651061i
0.3931957766+0.8272214207i
0.3425118851+0.8504262692i
0.2941775622+0.8705384559i
0.2416179478+0.8874629696i
0.1891427074+0.9010622421i
0.1341458328+0.9112758208i
0.0795397138+0.9180109972i
0.0235247748+0.9212729612i
-0.0329691253+0.9209479522i
-0.0889430760+0.9170928858i
-0.1456911954+0.9096490885i
-0.2012007882+0.8986677635i
-0.2570335847+0.8841494138i
-0.3111144033+0.8661555104i
-0.3649100166+0.8447421149i
-0.4168684293+0.8199723176i
-0.4676047429+0.7919516702i
-0.5164363319+0.7607646849i
-0.5633789623+0.7265451383i
-0.6082467447+0.6894015666i
-0.6505277924+0.6494968721i
-0.6906351721+0.6069665249i
-0.7277067432+0.5619848924i
-0.7621902449+0.5147239036i
-0.7934730324+0.4653684021i
-0.8218068651+0.4141124752i
-0.8467137352+0.3611564011i
-0.8683753970+0.3067146280i
-0.8865572521+0.2509947648i
-0.9011459838+0.1942271277i
-0.9122247637+0.1366312578i
-0.9195677303+0.0784413385i
-0.9233024788+0.0198873398i
-0.9232452288-0.0387932462i
-0.9195758179-0.0973668853i
-0.9121143173-0.1555973121i
-0.9010414979-0.2132485349i
-0.8863064901-0.2700903358i
-0.8679982081-0.3258903787i
-0.8461874182-0.3804248884i
-0.8209419601-0.4334708686i
-0.7923939637-0.4848148303i
-0.7606012667-0.5342461403i
-0.7257618869-0.5815648420i
-0.6879386471-0.6265772301i
-0.6473477658-0.6690994043i
-0.6041019075-0.7089576294i
-0.5584098747-0.7459879150i
-0.5104313055-0.7800387063i
-0.4603715558-0.8109689375i
-0.4084326043-0.8386516893i
-0.3548123942-0.8629714213i
-0.2997476253-0.8838276180i
-0.2434371548-0.9011325762i
-0.1861343287-0.9148137454i
-0.1280478899-0.9248127946i
-0.0694347161-0.9310864552i
-0.0105168618-0.9336067457i
0.0484543122-0.9323605885i
0.1072447824-0.9273507582i
0.1656126244-0.9185948144i
0.2233170639-0.9061262337i
0.2801278432-0.8899931112i
0.3358039334-0.8702590669i
0.3901263669-0.8470021445i
0.4428631191-0.8203150990i
0.4938054432-0.7903047238i
0.5427368869-0.7570915317i
0.5894612852-0.7208093580i
0.6337821269-0.6816045998i
0.6755179384-0.6396360033i
0.7144963401-0.5950735731i
0.7505539276-0.5480983631i
0.7835436077-0.4989013280i
0.8133250005-0.4476828941i
0.8397771174-0.3946518890i
0.8627859290-0.3400248798i
0.8822578509-0.2840251910i
0.8981081991-0.2268820074i
0.9102712645-0.1688295109i
0.9186939212-0.1101057919i
0.9233394699-0.0509520337i
0.9241868506+0.0083886433i
0.9212295974+0.0676720211i
0.9144787574+0.1266539381i
0.9039586555+0.1850911712i
0.8897118663+0.2427425350i
0.8717938099+0.2993698272i
0.8502774008+0.3547388340i
0.8252487085+0.4086203185i
0.7968097026+0.4607909398i
0.7650758048+0.5110342385i
0.7301764521+0.5591414804i
0.6922545315+0.6049125986i
0.6514650113+0.6481569719i
0.6079757552+0.6886942835i
0.5619650045+0.7263552418i
0.5136226549+0.7609823264i
0.4631475288+0.7924304458i
0.4107483102+0.8205675586i
0.3566412662+0.8452752504i
0.3010503953+0.8664492286i
0.2442058840+0.8839997991i
0.1863433771+0.8978522347i
0.1277031495+0.9079471338i
0.0685286704+0.9142406660i
0.0090662429+0.9167047966i
-0.0504367777+0.9153274121i
-0.1097322336+0.9101124016i
-0.1685729314+0.9010796611i
-0.2267130395+0.8882650313i
-0.2839096180+0.8717201766i
-0.3399232960+0.8515123833i
-0.3945194492+0.8277243112i
-0.4474691745+0.8004536595i
-0.4985501374+0.7698127895i
-0.5475477255+0.7359282667i
-0.5942556835+0.6989403587i
-0.6384772933+0.6590024618i
-0.6800259059+0.6162804806i
-0.7187260188+0.5709521492i
-0.7544137957+0.5232063020i
-0.7869379397+0.4732420999i
-0.8161602442+0.4212682055i
-0.8419562304+0.3675019249i
-0.8642157069+0.3121683029i
-0.8828431904+0.2554991920i
-0.8977584253+0.1977322845i
-0.9088966245+0.1391101234i
-0.9162088896+0.0798790870i
-0.9196623199+0.0202883581i
-0.9192402777-0.0394111213i
-0.9149423992-0.0989677057i
-0.9067846767-0.1581301043i
-0.8947993831-0.2166484431i
-0.8790349652-0.2742753188i
