0.0203760275+0.0000000283i
0.2109949492+0.0000014078i
0.4192363647+0.0000092865i
0.6086517786+0.0000293944i
0.6575414339+0.0000665092i
0.6366309475+0.0001217075i
0.7586327955+0.0001953444i
0.7491719846+0.0002898981i
0.7743720293+0.0004054918i
0.8185333030+0.0005428862i
0.8273175420+0.0007030900i
0.8450250680+0.0008864738i
0.8633523878+0.0010934917i
0.8843744272+0.0013247017i
0.8852200207+0.0015805602i
0.9067094356+0.0018612418i
0.9143846054+0.0021672395i
0.9223825433+0.0024987933i
0.9319522506+0.0028561343i
0.9404296191+0.0032395202i
0.9460672669+0.0036491804i
0.9515686297+0.0040852693i
0.9592844770+0.0045479595i
0.9615439910+0.0050374293i
0.9675291364+0.0055537739i
0.9704697270+0.0060971358i
0.9744684387+0.0066676095i
0.9767088873+0.0072652946i
0.9798856007+0.0078902610i
0.9819805226+0.0085425910i
0.9836997968+0.0092223409i
0.9858173721+0.0099295626i
0.9868141823+0.0106643063i
0.9884768504+0.0114266061i
0.9890200794+0.0122164992i
0.9902961345+0.0130340064i
0.9906201620+0.0138791555i
0.9913285315+0.0147519582i
0.9915966725+0.0156524298i
0.9919029492+0.0165805771i
0.9920345838+0.0175364063i
0.9919877268+0.0185199180i
0.9920930810+0.0195311107i
0.9917659049+0.0205699819i
0.9917060302+0.0216365228i
0.9913147030+0.0227307265i
0.9910643921+0.0238525808i
0.9905754262+0.0250020741i
0.9902100274+0.0261791906i
0.9896840326+0.0273839156i
0.9891427389+0.0286162307i
0.9886241283+0.0298761172i
0.9879839256+0.0311635555i
0.9874012006+0.0324785238i
0.9867163705+0.0338210002i
0.9860959661+0.0351909611i
0.9853579739+0.0365883830i
0.9846949477+0.0380132399i
0.9839539006+0.0394655069i
0.9832282205+0.0409451568i
0.9824863243+0.0424521625i
0.9817292864+0.0439864959i
0.9809753874+0.0455481283i
0.9801925635+0.0471370305i
0.9794365932+0.0487531723i
0.9786362537+0.0503965234i
0.9778680885+0.0520670523i
0.9770674106+0.0537647275i
0.9762845323+0.0554895165i
0.9754845295+0.0572413865i
0.9746917799+0.0590203038i
0.9738944084+0.0608262344i
0.9730925703+0.0626591435i
0.9722983187+0.0645189958i
0.9714919768+0.0664057556i
0.9706978401+0.0683193860i
0.9698909813+0.0702598502i
0.9690953783+0.0722271102i
