0.0000000000
0.1596673914+0.0020066168i
0.4276536344+0.0073814377i
0.7221661115+0.0164583212i
0.9626750399+0.0285591175i
1.0988582472+0.0423731554i
1.1247806088+0.0565149825i
1.0736314779+0.0700160512i
0.9973644403+0.0825605981i
0.9419101398+0.0944100461i
0.9294403128+0.1061044987i
0.9545132445+0.1181157491i
0.9935668190+0.1306195427i
1.0209973145+0.1434698758i
1.0229064846+0.1563460573i
1.0021238320+0.1689629089i
0.9734912551+0.1812217358i
0.9535449343+0.1932316464i
0.9510180715+0.2052115195i
0.9631820148+0.2173459729i
0.9791534801+0.2296828758i
0.9873194650+0.2421241579i
0.9821371836+0.2545020754i
0.9665397600+0.2666857218i
0.9491387113+0.2786523966i
0.9384754289+0.2904867391i
0.9379990181+0.3023167477i
0.9446081957+0.3142314636i
0.9512135086+0.3262308442i
0.9513833949+0.3382340182i
0.9431181977+0.3501349716i
0.9296067025+0.3618677497i
0.9168108165+0.3734413141i
0.9096177839+0.3849260479i
0.9089902968+0.3964044428i
0.9117320051+0.4079188321i
0.9127813740+0.4194479445i
0.9084390676+0.4309240140i
0.8985054321+0.4422767553i
0.8861242864+0.4534753825i
0.8756078324+0.4645432986i
0.8697165995+0.4755386027i
0.8680875003+0.4865148390i
0.8676822686+0.4974873760i
0.8648384553+0.5084255565i
0.8575594849+0.5192736266i
0.8466284393+0.5299856655i
0.8349432697+0.5405521656i
0.8255974176+0.5510024943i
0.8199632725+0.5613832707i
0.8169543977+0.5717274666i
0.8138467060+0.5820338237i
0.8080589287+0.5922686432i
0.7987394205+0.6023875181i
0.7871932477+0.6123624364i
0.7759530017+0.6221972098i
0.7671432711+0.6319223514i
0.7611878220+0.6415737043i
0.7566395536+0.6511689300i
0.7511780432+0.6606965308i
0.7430957782+0.6701235479i
0.7323275205+0.6794161977i
0.7204085121+0.6885599857i
0.7094414201+0.6975668405i
0.7007619374+0.7064654784i
0.6941458406+0.7152818021i
0.6880237432+0.7240219943i
0.6805222927+0.7326686956i
0.6706460202+0.7411920332i
0.6588584707+0.7495679555i
0.6467284365+0.7577921231i
0.6359034303+0.7658809008i
0.6270793473+0.7738594016i
0.6196082751+0.7817445993i
0.6119613241+0.7895342557i
0.6027215507+0.7972083249i
0.5914654758+0.8047414361i
0.5789878776+0.8121182028i
0.5667564924+0.8193416821i
0.5559682371+0.8264299738i
0.5468122931+0.8334035577i
0.5383922356+0.8402716507i
0.5293301197+0.8470261538i
0.5186485723+0.8536466837i
0.5063687083+0.8601131194i
0.4934606171+0.8664175284i
0.4812015642+0.8725680294i
0.4703654255+0.8785824675i
0.4607569278+0.8844762366i
0.4513698801+0.8902520874i
0.4410479902+0.8958982395i
0.4292165083+0.9013956875i
0.4162237489+0.9067298005i
0.4030919458+0.9118987929i
0.3908538880+0.9169138578i
0.3799053676+0.9217911646i
0.3697790561+0.9265410117i
0.3594676388+0.9311610395i
0.3480753509+0.9356376310i
0.3353782905+0.9399543529i
0.3219447357+0.9441019118i
0.3087540162+0.9480833205i
0.2965691861+0.9519111820i
0.2854652544+0.9555990439i
0.2748044952+0.9591524413i
0.2636605475+0.9625652680i
0.2514110580+0.9658235958i
0.2381212592+0.9689143143i
0.2244836326+0.9718330139i
0.2113648232+0.9745861762i
0.1992563304+0.9771864607i
0.1879772810+0.9796442557i
0.1768089301+0.9819609184i
0.1649638334+0.9841279100i
0.1520849095+0.9861322031i
0.1384594709+0.9879643794i
0.1248215206+0.9896242437i
0.1118782484+0.9911204888i
